연번,업종명,업소명,소재지도로명,소재지지번,업태명
433,휴게음식점,메가엠지씨(MGC)커피 경산펜타힐즈점,"경상북도 경산시 펜타힐즈2로 37, 힐즈스퀘어3 104호 (중산동)",경상북도 경산시 중산동 637-2 힐즈스퀘어3 힐즈스퀘어호,커피숍
434,휴게음식점,유알와이커피(URY Coffee) 경산펜타힐즈점,"경상북도 경산시 펜타힐즈2로 25, 111,112호 (중산동)","경상북도 경산시 중산동 638-1 111,112호 ",커피숍
435,휴게음식점,뚠뚠커피,"경상북도 경산시 하양읍 하양역길 32, 1층",경상북도 경산시 하양읍 금락리 131-45 1층 ,커피숍
436,휴게음식점,쿠드커피(COOD COFFEE),"경상북도 경산시 압량읍 대학로 363, 1층",경상북도 경산시 압량읍 부적리 508 1층 ,커피숍
437,휴게음식점,섬섬밀밀,"경상북도 경산시 진량읍 대구대로 346, 주1동 1,2층","경상북도 경산시 진량읍 평사(坪)리 60 주1동 1,2층 ",커피숍
438,휴게음식점,스윗하트(SWEET HEART),"경상북도 경산시 펜타힐즈2로 37, 힐즈스퀘어3 115호 (중산동)",경상북도 경산시 중산동 637-2 힐즈스퀘어3 115호,커피숍
439,휴게음식점,이디야 경산중앙병원점,"경상북도 경산시 경안로 11, 중앙병원 1층 (백천동)",경상북도 경산시 백천동 4-2 중앙병원 1층 ,커피숍
440,휴게음식점,컴포즈 하양우미린점,"경상북도 경산시 하양읍 서사도리4로 5, 메이플라워 102호",경상북도 경산시 하양읍 서사리 288 메이플라워 102호,커피숍
441,휴게음식점,구스터프(GUSTUFF),"경상북도 경산시 압량읍 청운2로 116, 1층",경상북도 경산시 압량읍 부적리 287-5 1층 ,커피숍
442,휴게음식점,텐퍼센트커피 백천점,"경상북도 경산시 경청로221길 11, 동화리버빌 상가동 301동 105호 (백천동)",경상북도 경산시 백천동 572-1 동화리버빌 상가동 301동 105호,커피숍
443,휴게음식점,카페 화사박,"경상북도 경산시 자인면 서부1길 52, 주1동",경상북도 경산시 자인면 북사리 270 주1동 ,커피숍
444,휴게음식점,반곡지 이야기,경상북도 경산시 남산면 반지길 191,경상북도 경산시 남산면 반곡리 247-2 ,커피숍
445,휴게음식점,커피랩스,경상북도 경산시 경안로65길 5-7 (대평동),경상북도 경산시 대평동 439-2 ,커피숍
446,휴게음식점,라바트 모로코 카페(Rabat Morocco cafe),"경상북도 경산시 둥지로 21, 1층 (조영동)",경상북도 경산시 조영동 267 1층 ,커피숍
447,휴게음식점,까페 묘목,경상북도 경산시 진량읍 공단로 582,경상북도 경산시 진량읍 봉회리 99-4 ,커피숍
448,휴게음식점,카펠루스,"경상북도 경산시 하양읍 대학로298길 12, 1층",경상북도 경산시 하양읍 금락리 394-6 1층 ,커피숍
449,휴게음식점,파스마(백천점),"경상북도 경산시 경청로224길 7-1, 1층 (백천동)",경상북도 경산시 백천동 95-1 1층 ,커피숍
450,휴게음식점,에덴(Eden),"경상북도 경산시 와촌면 하양로 494, 1층",경상북도 경산시 와촌면 계당리 90 1층 ,커피숍
451,휴게음식점,메가엠지씨커피 경산진량공단점,경상북도 경산시 진량읍 공단2로9길 22,경상북도 경산시 진량읍 신상리 359-1 ,커피숍
452,휴게음식점,앤트 메리(Aunt Mary),"경상북도 경산시 남산면 상대로 695-14, 1층",경상북도 경산시 남산면 상대리 98-8 1층 ,커피숍
453,휴게음식점,텐퍼센트 신대부적점,"경상북도 경산시 압량읍 압독3로 33, 1층",경상북도 경산시 압량읍 신대리 419-1 1층 ,커피숍
454,휴게음식점,햇살동,"경상북도 경산시 경산로 159-5, 역전마을 복합커뮤니티센터 주1동 1층 (옥산동)",경상북도 경산시 옥산동 123-8 역전마을 복합커뮤니티센터 1층 주1동 ,커피숍
455,휴게음식점,몬스터커피 경산지식더퍼스트점,"경상북도 경산시 하양읍 지식산업로4길 8, 파인앤유 더 퍼스트 111,112호","경상북도 경산시 하양읍 대학리 1107 파인앤유 더 퍼스트 111,112호 ",커피숍
456,휴게음식점,서상카페,"경상북도 경산시 경안로21길 13-6, 주2,3,4,5동 (삼남동)","경상북도 경산시 삼남동 72-1 주2,3,4,5동 ",커피숍
457,휴게음식점,아가페상점,"경상북도 경산시 경안로67길 14-1, 1층 (대평동)",경상북도 경산시 대평동 429-12 1층 ,커피숍
458,휴게음식점,하늘다움카페,"경상북도 경산시 남매로6길 27, 1층 (상방동)",경상북도 경산시 상방동 102-1 1층 ,커피숍
459,휴게음식점,더벤티 경산임당점,"경상북도 경산시 남매공원로1길 27, 블루핀 임당 제니스 오피스텔 101호 (계양동)",경상북도 경산시 계양동 724 블루핀 임당 제니스 오피스텔 101호,커피숍
460,휴게음식점,더원트커피,"경상북도 경산시 삼풍로 10, 1층 (삼풍동)",경상북도 경산시 삼풍동 509-3 1층 ,커피숍
461,휴게음식점,빽다방 경산신대부적점,경상북도 경산시 압량읍 압독2로1길 15,경상북도 경산시 압량읍 신대리 385 ,커피숍
462,휴게음식점,스타벅스 경산사동DT,"경상북도 경산시 원효로 194, 1,2층 (사동)","경상북도 경산시 사동 561 1,2층 ",커피숍
463,휴게음식점,에이치나인(HNINE),경상북도 경산시 자인면 중촌천북길 4-10,경상북도 경산시 자인면 서부리 132-2 ,커피숍
464,휴게음식점,천마다방,"경상북도 경산시 대학로 279-1, 주1동 2층 (대동)",경상북도 경산시 대동 165-3 주1동 2층 ,커피숍
465,휴게음식점,요거트퍼플,"경상북도 경산시 삼성현로 883, 1,2층 (여천동)","경상북도 경산시 여천동 80-8 1,2층 ",커피숍
466,휴게음식점,슈슈(CHOUCHOU),"경상북도 경산시 진량읍 일연로 747, 203동 102호 (이안 경산진량 아파트)",경상북도 경산시 진량읍 선화리 1990 이안경산진량아파트 203동 102호,커피숍
467,휴게음식점,레라카페(LELA CAPHE),"경상북도 경산시 청운1로 54, 2층 (조영동)",경상북도 경산시 조영동 256-2 2층 ,커피숍
468,휴게음식점,아임플케(I'm Flke),"경상북도 경산시 남매공원로1길 30, 1층 (계양동)",경상북도 경산시 계양동 740 1층 ,커피숍
469,휴게음식점,카페 토리,경상북도 경산시 백자로 147 (사동),경상북도 경산시 사동 562-5 ,커피숍
470,휴게음식점,메가엠지씨커피 경산신대점,"경상북도 경산시 압량읍 압독3로 21, 1층 103호",경상북도 경산시 압량읍 신대리 426 ,커피숍
471,휴게음식점,주식회사 플라워카페,"경상북도 경산시 둥지로 71, 1층 (임당동)",경상북도 경산시 임당동 626-2 임당빌딩 ,커피숍
472,휴게음식점,헬리빈 영대점,경상북도 경산시 압량읍 부적길 5,경상북도 경산시 압량읍 부적리 486-10 ,커피숍
473,휴게음식점,리터킹 경산1호점,"경상북도 경산시 대학로12길 21-2, 1층 103호 (정평동)",경상북도 경산시 정평동 230-13 ,커피숍
474,휴게음식점,정남향,경상북도 경산시 대학로 59-18 (정평동),경상북도 경산시 정평동 130-17 ,커피숍
475,휴게음식점,리터킹 영남대점,"경상북도 경산시 대학로59길 11-9, 1층 (대동)",경상북도 경산시 대동 154-6 ,커피숍
476,휴게음식점,메가엠지씨커피 경산신제공단점,경상북도 경산시 진량읍 공단9로 76,경상북도 경산시 진량읍 신제리 551 ,커피숍
477,휴게음식점,유아이유 경산시청점,"경상북도 경산시 원효로 9, 1층 (중방동)",경상북도 경산시 중방동 870-16 ,커피숍
478,휴게음식점,임당724 샌드카페 경산본점,"경상북도 경산시 남매공원로1길 27, 블루핀 임당 제니스 오피스텔 2층 205호 (계양동)",경상북도 경산시 계양동 724 블루핀 임당 제니스 오피스텔 ,커피숍
479,휴게음식점,모리커피 경산사동점,"경상북도 경산시 백양로33길 13, 1층 (사동)",경상북도 경산시 사동 663-6 ,커피숍
480,휴게음식점,커피프롬(coffee from),경상북도 경산시 자인면 설총로 888,경상북도 경산시 자인면 동부리 206-6 ,커피숍
481,휴게음식점,데이즈(days),"경상북도 경산시 대학로 320, 2층 (조영동)",경상북도 경산시 조영동 324 ,커피숍
482,휴게음식점,휠스카페,"경상북도 경산시 하양읍 가마실길 50, 경일대학교 기숙사(목련관) 지하1층",경상북도 경산시 하양읍 부호리 33 경일대학교 기숙사(목련관) ,커피숍
483,휴게음식점,유아이유(UIU) 경산역점,"경상북도 경산시 경산로 140-1, 1층 (사정동)",경상북도 경산시 사정동 20-19 1층 ,커피숍
