연번,업종명,업소명,소재지도로명,소재지지번,업태명
144,휴게음식점,커피랑 디저트랑,경상북도 경산시 하양읍 하양로 161,경상북도 경산시 하양읍 동서리 552-6 ,커피숍
145,휴게음식점,메가엠지씨커피 대구대학점,경상북도 경산시 진량읍 대구대로 244,경상북도 경산시 진량읍 내리리 100-7 ,커피숍
146,휴게음식점,게으른농담,경상북도 경산시 하양읍 동서1길 30-3,경상북도 경산시 하양읍 동서리 562-8 ,커피숍
147,휴게음식점,믹스 브로스(Mix bros),"경상북도 경산시 자인면 단북1길 65, 대경대학교 본동",경상북도 경산시 자인면 단북리 63 대경대학교 본동 ,커피숍
148,휴게음식점,엘아르카 오로라 백천점,"경상북도 경산시 경청로222길 30, 경산삼도뷰엔빌W 301동 지1층 105호 (백천동)",경상북도 경산시 백천동 619 경산삼도뷰엔빌W 301동 105호,커피숍
149,휴게음식점,파라글로우,"경상북도 경산시 진량읍 공단7로 3, A동 2층",경상북도 경산시 진량읍 대원리 494 2층 A동 ,커피숍
150,휴게음식점,이디야커피 하양무학점,"경상북도 경산시 하양읍 서사도리7로 17, 1층",경상북도 경산시 하양읍 서사리 302 1층 ,커피숍
151,휴게음식점,"다시,봄(CAFE&MARKET)","경상북도 경산시 장산로 201, 1층 (상방동)",경상북도 경산시 상방동 2-1 ,커피숍
152,휴게음식점,공차 경산사동점,"경상북도 경산시 백자로10길 1, 104,105호 (사동)","경상북도 경산시 사동 43 104,105호 ",커피숍
153,휴게음식점,소소한카페,경상북도 경산시 자인면 단북길 89-2,경상북도 경산시 자인면 단북리 146-1 ,커피숍
154,휴게음식점,너와함께한하루,경상북도 경산시 성암로13길 21 (옥산동),경상북도 경산시 옥산동 853-2 ,커피숍
155,휴게음식점,데이온,"경상북도 경산시 경안로22길 11, 1층 (삼북동)",경상북도 경산시 삼북동 56-2 ,커피숍
156,휴게음식점,모네드,"경상북도 경산시 진량읍 대구대로 201, 대구대학교 종합복지관 1층",경상북도 경산시 진량읍 내리리 15 대구대학교 종합복지관 ,커피숍
157,휴게음식점,몬스터커피 영남대점,"경상북도 경산시 대학로 299, 101호 (조영동)",경상북도 경산시 조영동 280-5 101호,커피숍
158,휴게음식점,아틀리에빈 계양점,경상북도 경산시 백양로 100 (사동),경상북도 경산시 사동 5 ,커피숍
159,휴게음식점,헤븐카페(Heaven cafe),"경상북도 경산시 하양읍 가마실길 50, 경일대학교 중앙도서관 6층",경상북도 경산시 하양읍 부호리 33 경일대학교 중앙도서관 6층 ,커피숍
160,휴게음식점,더벤티 경산중방점,경상북도 경산시 경안로38길 17 (중방동),경상북도 경산시 중방동 863-1 ,커피숍
161,휴게음식점,이인상베이커리카페,"경상북도 경산시 삼성현로 10-4, 1층 (옥산동)",경상북도 경산시 옥산동 677-5 ,커피숍
162,휴게음식점,롤링핀(경산점),"경상북도 경산시 경안로50길 6, C동 (중방동)",경상북도 경산시 중방동 837-1 ,커피숍
163,휴게음식점,카페507,경상북도 경산시 압량읍 인안길20길 81,경상북도 경산시 압량읍 인안리 50-7 ,커피숍
164,휴게음식점,크레센트,경상북도 경산시 경청로230길 19 (백천동),경상북도 경산시 백천동 115-4 ,커피숍
165,휴게음식점,아마스빈 경산하양점,"경상북도 경산시 하양읍 하양로 76, 1층",경상북도 경산시 하양읍 금락리 116-8 ,커피숍
166,휴게음식점,마실커피 영남대점,"경상북도 경산시 대학로61길 19, 1층 (조영동)",경상북도 경산시 조영동 580-8 삼영원룸 ,커피숍
167,휴게음식점,이디야커피(정평점),경상북도 경산시 대학로13길 89 (정평동),경상북도 경산시 정평동 177-4 ,커피숍
168,휴게음식점,빽다방 경산옥곡점,경상북도 경산시 경산로16길 2-6 (옥곡동),경상북도 경산시 옥곡동 816-4 ,커피숍
169,휴게음식점,커피브라운,"경상북도 경산시 진량읍 공단9로 75, 103호",경상북도 경산시 진량읍 신제리 549 103호,커피숍
170,휴게음식점,마시그래이(대가대점),"경상북도 경산시 하양읍 하양로 13-13, 대구가톨릭대학교 관리동",경상북도 경산시 하양읍 금락리 산 35 대구가톨릭대학교 관리동 ,커피숍
171,휴게음식점,해르트,"경상북도 경산시 하양읍 하양로 45, 205호",경상북도 경산시 하양읍 금락리 131-40 205호,커피숍
172,휴게음식점,하삼동(펜타힐즈점),"경상북도 경산시 펜타힐즈2로 37, 힐즈스퀘어3 1층 103호 (중산동)",경상북도 경산시 중산동 637-2 힐즈스퀘어3 103호,커피숍
173,휴게음식점,콤마위치,"경상북도 경산시 경청로 1105, 금강빌딩 1층 (백천동)",경상북도 경산시 백천동 574-5 금강빌딩 ,커피숍
174,휴게음식점,더리터 펜타힐즈점,"경상북도 경산시 펜타힐즈2로 65, 펜타힐즈 더원 110호 (중산동)",경상북도 경산시 중산동 633 펜타힐즈 더원 110호,커피숍
175,휴게음식점,메가엠지씨커피 경산하양점,"경상북도 경산시 하양읍 하양로 66, 1층 4호",경상북도 경산시 하양읍 금락리 116-377 4호,커피숍
176,휴게음식점,이디야커피 진량점,경상북도 경산시 진량읍 공단로 479,경상북도 경산시 진량읍 신상리 183-10 ,커피숍
177,휴게음식점,빅핸즈,"경상북도 경산시 삼풍로 27, 경북테크노파크 본부동 1층 (삼풍동)",경상북도 경산시 삼풍동 300 경북테크노파크 본부동 1층 ,커피숍
178,휴게음식점,별빛정원,경상북도 경산시 와촌면 팔공로 45-10,경상북도 경산시 와촌면 음양리 913-19 ,커피숍
179,휴게음식점,어벤더치 경산점,"경상북도 경산시 대학로 47, 정평현대타운  상가동 104호 (정평동)",경상북도 경산시 정평동 130 정평현대타운 상가동 104호,커피숍
180,휴게음식점,온더비전,"경상북도 경산시 성암로21길 39, 2층 (옥산동)",경상북도 경산시 옥산동 726-7 2층 ,커피숍
181,휴게음식점,모리커피 영남대점,"경상북도 경산시 대학로 299, 104호 (조영동)",경상북도 경산시 조영동 280-5 104호,커피숍
182,휴게음식점,하랑커피,경상북도 경산시 중방로 115-2 (계양동),경상북도 경산시 계양동 243-9 ,커피숍
183,휴게음식점,빠넬라(PANELA),"경상북도 경산시 장산로 339, 1층 (사동)",경상북도 경산시 사동 652-9 1층 ,커피숍
184,휴게음식점,소월30.5(sowol30.5),"경상북도 경산시 와촌면 금송로 407, 1,2층","경상북도 경산시 와촌면 소월리 30-5 1,2층 ",커피숍
185,휴게음식점,매머드커피 익스프레스 경산중산점,"경상북도 경산시 경산로 267, 1층 (중산동)",경상북도 경산시 중산동 569-1 1층 ,커피숍
186,휴게음식점,카페 꽃이피다 경산점,경상북도 경산시 성암로9길 25 (옥산동),경상북도 경산시 옥산동 830-4 ,커피숍
187,휴게음식점,봄봄 임당점,"경상북도 경산시 남매공원로1길 9, 임당타워 107호 (계양동)",경상북도 경산시 계양동 717 임당타워 107호,커피숍
188,휴게음식점,헤븐카페(Heaven cafe) 공원점,"경상북도 경산시 하양읍 가마실길 50, 경일대학교 28동",경상북도 경산시 하양읍 부호리 33 경일대학교 28동 ,커피숍
189,휴게음식점,아바나102(AVANA102),경상북도 경산시 진량읍 부림로 273-7,경상북도 경산시 진량읍 상림리 130-17 ,커피숍
190,휴게음식점,블루포트 대구가톨릭대도서관점,"경상북도 경산시 하양읍 하양로 13-13, 대구가톨릭대학교 중앙도서관 지하1층",경상북도 경산시 하양읍 금락리 산 35 대구가톨릭대학교 중앙도서관 지하1층 ,커피숍
191,휴게음식점,블루포트 대구가톨릭대취창업관점,"경상북도 경산시 하양읍 하양로 13-13, 대구가톨릭대학교 취창업센터동",경상북도 경산시 하양읍 금락리 산 35 대구가톨릭대학교 취창업센터동 ,커피숍
192,휴게음식점,스텔라,경상북도 경산시 들뫼길 306 (점촌동),경상북도 경산시 점촌동 342 ,커피숍
193,휴게음식점,호미호시,경상북도 경산시 원효로 275 (갑제동),경상북도 경산시 갑제동 산 87-2 ,커피숍
194,휴게음식점,그라찌에 영남대 외국어교육원점,"경상북도 경산시 대학로 280, 영남대학교 외국어교육원 (대동)",경상북도 경산시 대동 214-1 영남대학교 외국어교육원 ,커피숍
195,휴게음식점,플라플로(PLFL),"경상북도 경산시 대학로 281-1, 7층 (대동)",경상북도 경산시 대동 166-6 7층 ,커피숍
196,휴게음식점,빙수제이 경산점,"경상북도 경산시 성암로21길 47, 나동 108호 (옥산동)",경상북도 경산시 옥산동 726-3 나동 108호,커피숍
197,휴게음식점,텐퍼센트 경산영남대점,경상북도 경산시 대학로59길 18 (조영동),경상북도 경산시 조영동 578-16 ,커피숍
198,휴게음식점,카페125,"경상북도 경산시 하양읍 가마실길 50, 경일대학교 학생회관",경상북도 경산시 하양읍 부호리 33 경일대학교 학생회관 ,커피숍
199,휴게음식점,이터널(Eternal),경상북도 경산시 백양로34길 15-4 (사동),경상북도 경산시 사동 675-8 ,커피숍
200,휴게음식점,월든,경상북도 경산시 경안로21길 17-2 (삼남동),경상북도 경산시 삼남동 68 ,커피숍
201,휴게음식점,드라이브 커피,경상북도 경산시 하양읍 화성로 317,경상북도 경산시 하양읍 대조리 753-4 ,커피숍
202,휴게음식점,올더모어,"경상북도 경산시 하양읍 문화로 90, 1,2,3층",경상북도 경산시 하양읍 도리리 113-4 ,커피숍
